"id","x","y","rep","collections"
9,10.5,21.5,1,1
14,-83.5,27.5,1,14
14,-81.5,17.5,1,1
30,57.5,1.5,1,4
35,57.5,1.5,1,4
37,59.5,6.5,1,3
42,59.5,6.5,1,3
43,-64.5,30.5,1,1
43,-63.5,32.5,1,1
44,61.5,10.5,1,9
47,141.5,51.5,1,1
51,3.5,24.5,1,2
56,70.5,-6.5,1,1
57,60.5,-1.5,1,1
61,-58.5,6.5,1,1
61,-60.5,3.5,1,73
64,17.5,23.5,1,1
65,59.5,6.5,1,3
81,-44.5,40.5,1,1
81,-59.5,37.5,1,18
86,-59.5,37.5,1,18
95,38.5,1.5,1,9
101,60.5,-1.5,1,1
104,24.5,37.5,1,1
105,-60.5,3.5,1,73
106,49.5,37.5,1,1
106,35.5,41.5,1,1
112,62.5,5.5,1,2
121,62.5,7.5,1,55
121,59.5,6.5,1,3
148,1.5,48.5,1,1
151,-10.5,26.5,1,7
152,-70.5,20.5,1,1
157,71.5,13.5,1,11
172,62.5,15.5,1,21
174,7.5,27.5,1,3
174,10.5,21.5,1,1
179,-61.5,7.5,1,1
186,66.5,9.5,1,4
186,62.5,7.5,1,55
203,-63.5,-20.5,1,4
209,66.5,9.5,1,4
213,41.5,15.5,1,1
222,-81.5,17.5,1,1
224,-64.5,30.5,1,1
224,-61.5,7.5,1,1
224,-58.5,6.5,1,1
231,-19.5,9.5,1,1
232,-19.5,9.5,1,1
232,-4.5,10.5,1,4
235,27.5,18.5,1,1
235,20.5,18.5,1,1
235,24.5,16.5,1,1
246,70.5,-6.5,1,1
246,62.5,7.5,1,55
248,-81.5,17.5,1,1
258,38.5,1.5,1,9
260,57.5,1.5,1,4
264,-59.5,34.5,1,3
277,27.5,18.5,1,1
287,35.5,41.5,1,1
290,61.5,10.5,1,9
294,1.5,-2.5,1,1
309,-70.5,20.5,1,1
314,71.5,13.5,1,11
319,-58.5,6.5,1,1
322,-19.5,9.5,1,1
326,-19.5,9.5,1,1
328,61.5,10.5,1,9
341,10.5,21.5,1,1
358,61.5,10.5,1,9
358,62.5,15.5,1,21
362,-71.5,28.5,1,4
367,61.5,10.5,1,9
372,-61.5,7.5,1,1
375,57.5,1.5,1,4
376,152.5,-47.5,1,4
379,-83.5,27.5,1,14
381,60.5,-1.5,1,1
385,49.5,37.5,1,1
390,18.5,-41.5,1,1
391,-71.5,28.5,1,4
391,-67.5,30.5,1,1
393,24.5,37.5,1,1
407,-9.5,28.5,1,4
418,-61.5,7.5,1,1
420,-104.5,38.5,1,20
422,1.5,-2.5,1,1
425,-19.5,9.5,1,1
432,62.5,7.5,1,55
432,62.5,15.5,1,21
433,4.5,27.5,1,2
440,24.5,16.5,1,1
440,27.5,18.5,1,1
443,61.5,10.5,1,9
443,62.5,7.5,1,55
449,-60.5,3.5,1,73
455,61.5,10.5,1,9
477,18.5,27.5,1,1
477,17.5,23.5,1,1
480,-19.5,9.5,1,1
484,71.5,13.5,1,11
489,18.5,27.5,1,1
489,17.5,23.5,1,1
502,57.5,1.5,1,4
505,129.5,39.5,1,3
506,-4.5,10.5,1,4
518,-19.5,9.5,1,1
519,20.5,18.5,1,1
519,10.5,21.5,1,1
524,60.5,-1.5,1,1
525,-81.5,17.5,1,1
529,-48.5,4.5,1,3
531,65.5,17.5,1,36
535,1.5,-2.5,1,1
544,-19.5,9.5,1,1
544,1.5,-2.5,1,1
562,1.5,-2.5,1,1
563,32.5,21.5,1,1
565,-64.5,30.5,1,1
567,-4.5,10.5,1,4
568,11.5,37.5,1,28
568,17.5,23.5,1,1
579,-48.5,4.5,1,3
580,-44.5,40.5,1,1
580,-59.5,37.5,1,18
581,41.5,15.5,1,1
583,65.5,17.5,1,36
583,66.5,9.5,1,4
587,71.5,13.5,1,11
588,66.5,9.5,1,4
588,59.5,6.5,1,3
588,62.5,5.5,1,2
594,59.5,6.5,1,3
599,62.5,7.5,1,55
599,62.5,15.5,1,21
