"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.39,1,8
2,75,60,67.5,"N",16.96,8.425,27.05
3,60,45,52.5,"N",78.73,60.475,95
4,45,30,37.5,"N",251.27,226.475,279.525
5,30,15,22.5,"N",457.73,430.95,486
6,15,0,7.5,"N",486.38,461.475,517.525
7,0,-15,-7.5,"S",345.27,317.9,376.15
8,-15,-30,-22.5,"S",191.22,170.95,217.1
9,-30,-45,-37.5,"S",95.85,78.95,113.525
10,-45,-60,-52.5,"S",40.64,29,52.525
11,-60,-75,-67.5,"S",9.78,4.475,14.525
12,-75,-90,-82.5,"S",1.67,0,5
