"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.37,0,6
2,75,60,67.5,"N",13.85,7.475,23.05
3,60,45,52.5,"N",53.01,37.95,67.525
4,45,30,37.5,"N",273.01,249.95,305.05
5,30,15,22.5,"N",545.08,517.475,575.625
6,15,0,7.5,"N",431.17,403,460.525
7,0,-15,-7.5,"S",143.94,125.475,168.05
8,-15,-30,-22.5,"S",147.1,127.95,165.575
9,-30,-45,-37.5,"S",85.06,67.425,104.05
10,-45,-60,-52.5,"S",43.39,29.425,56
11,-60,-75,-67.5,"S",10.18,4,17.525
12,-75,-90,-82.5,"S",0.38,0,2
