"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.28,0,5
2,75,60,67.5,"N",14.56,7.475,24
3,60,45,52.5,"N",66.92,52.475,80.525
4,45,30,37.5,"N",154.19,135,175
5,30,15,22.5,"N",262.18,239.95,288
6,15,0,7.5,"N",405.8,381,436.1
7,0,-15,-7.5,"S",488.84,465.475,515.525
8,-15,-30,-22.5,"S",371.88,347.425,404.775
9,-30,-45,-37.5,"S",174.19,155.475,198.05
10,-45,-60,-52.5,"S",41.02,28.475,52.525
11,-60,-75,-67.5,"S",6.51,2.475,10.525
12,-75,-90,-82.5,"S",1.08,0,3
