"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.35,1,7
2,75,60,67.5,"N",17.74,11,25
3,60,45,52.5,"N",81.2,65.475,98.525
4,45,30,37.5,"N",230.1,202.475,259.575
5,30,15,22.5,"N",446.93,418.475,476.525
6,15,0,7.5,"N",515.35,486.425,543.05
7,0,-15,-7.5,"S",332.03,307,358.525
8,-15,-30,-22.5,"S",199.18,173.9,219.525
9,-30,-45,-37.5,"S",116.7,98.9,135.525
10,-45,-60,-52.5,"S",38.24,28.475,49
11,-60,-75,-67.5,"S",8.62,3,14.525
12,-75,-90,-82.5,"S",1.47,0,4
