"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.18,0,6
2,75,60,67.5,"N",13.67,5,20
3,60,45,52.5,"N",65.56,50.475,80.525
4,45,30,37.5,"N",171.16,150,193.575
5,30,15,22.5,"N",292.16,259.95,323.1
6,15,0,7.5,"N",443.68,417.475,472.525
7,0,-15,-7.5,"S",482.51,454.425,513.575
8,-15,-30,-22.5,"S",332.68,306.85,359.05
9,-30,-45,-37.5,"S",152.04,127.475,174
10,-45,-60,-52.5,"S",34.25,23.475,46.1
11,-60,-75,-67.5,"S",5.31,1.475,10
12,-75,-90,-82.5,"S",0.69,0,2
