"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.66,0,9
2,75,60,67.5,"N",16.07,9,23
3,60,45,52.5,"N",82.01,65.95,100.525
4,45,30,37.5,"N",233.67,209.475,255.575
5,30,15,22.5,"N",430.36,401.95,457.05
6,15,0,7.5,"N",474.22,443.8,506.05
7,0,-15,-7.5,"S",247.39,224.325,269
8,-15,-30,-22.5,"S",179.31,153.95,202.525
9,-30,-45,-37.5,"S",116.44,96.475,131.525
10,-45,-60,-52.5,"S",20.08,13.475,28
11,-60,-75,-67.5,"S",6.14,2.475,11.525
12,-75,-90,-82.5,"S",0.81,0,2
