"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.93,0,5
2,75,60,67.5,"N",11.73,6,18
3,60,45,52.5,"N",64.74,53,79.525
4,45,30,37.5,"N",226.5,204.475,250.625
5,30,15,22.5,"N",423.37,395.475,456.25
6,15,0,7.5,"N",496.69,469.475,524.05
7,0,-15,-7.5,"S",404.73,375,429.05
8,-15,-30,-22.5,"S",202.88,178.425,227.575
9,-30,-45,-37.5,"S",101.8,81.375,120
10,-45,-60,-52.5,"S",36.99,26.95,45
11,-60,-75,-67.5,"S",9.14,4,14.525
12,-75,-90,-82.5,"S",1.59,0,4.52499999999999
