"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.14,0,6.52499999999999
2,75,60,67.5,"N",15.55,10,23
3,60,45,52.5,"N",67.85,50.9,82.525
4,45,30,37.5,"N",265.2,239.9,287.575
5,30,15,22.5,"N",558.17,527.475,587
6,15,0,7.5,"N",519,490.95,549.525
7,0,-15,-7.5,"S",262.63,240.475,285.525
8,-15,-30,-22.5,"S",155.46,131.95,181.05
9,-30,-45,-37.5,"S",85.69,68.475,105.625
10,-45,-60,-52.5,"S",41.51,31.475,53
11,-60,-75,-67.5,"S",12.45,5.475,21
12,-75,-90,-82.5,"S",2.05,0,5
