"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.14,0.475,7.52499999999999
2,75,60,67.5,"N",16.82,10,26.525
3,60,45,52.5,"N",72.24,55.95,88.575
4,45,30,37.5,"N",230.97,206.95,253
5,30,15,22.5,"N",460.04,427.475,485.1
6,15,0,7.5,"N",478.97,444.425,506.1
7,0,-15,-7.5,"S",310.02,287.475,341.575
8,-15,-30,-22.5,"S",240.17,216.95,262.525
9,-30,-45,-37.5,"S",138.55,121,162.525
10,-45,-60,-52.5,"S",39.05,30,50.05
11,-60,-75,-67.5,"S",7.77,3,13
12,-75,-90,-82.5,"S",1.4,0,3.52499999999999
