"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.3,0,3.52499999999999
2,75,60,67.5,"N",4.86,1.475,9
3,60,45,52.5,"N",49.39,36.95,60.525
4,45,30,37.5,"N",164.6,138.475,185.525
5,30,15,22.5,"N",247.07,225,273.15
6,15,0,7.5,"N",323.38,288.8,353.575
7,0,-15,-7.5,"S",373.3,341.9,402.05
8,-15,-30,-22.5,"S",357.72,326.425,387
9,-30,-45,-37.5,"S",195.01,171.475,218
10,-45,-60,-52.5,"S",51.95,38.475,66
11,-60,-75,-67.5,"S",7.38,3,14
12,-75,-90,-82.5,"S",1.29,0,4
