"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.14,0,5.52499999999999
2,75,60,67.5,"N",11.38,4.475,18
3,60,45,52.5,"N",55.7,42.475,69
4,45,30,37.5,"N",203.99,179.375,232.05
5,30,15,22.5,"N",420.89,388.475,459.1
6,15,0,7.5,"N",484.82,454.325,514.525
7,0,-15,-7.5,"S",418.34,387.475,448.05
8,-15,-30,-22.5,"S",271.27,245.475,300.625
9,-30,-45,-37.5,"S",102.47,85.475,123
10,-45,-60,-52.5,"S",18.15,9.95,28
11,-60,-75,-67.5,"S",3.47,1,7.52499999999999
12,-75,-90,-82.5,"S",0.63,0,3
