"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.36,0,6.04999999999998
2,75,60,67.5,"N",8.71,3.475,14
3,60,45,52.5,"N",49.49,38.475,64.525
4,45,30,37.5,"N",165.66,143.425,190.1
5,30,15,22.5,"N",323.74,289.325,356.525
6,15,0,7.5,"N",457.72,434,482
7,0,-15,-7.5,"S",386.01,361,419.05
8,-15,-30,-22.5,"S",264.23,236.9,285.525
9,-30,-45,-37.5,"S",94.44,74.475,116
10,-45,-60,-52.5,"S",19.58,12,27.525
11,-60,-75,-67.5,"S",4.37,1,8.52499999999999
12,-75,-90,-82.5,"S",0.74,0,3
