"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.55,0,2.52499999999999
2,75,60,67.5,"N",10.91,5,17
3,60,45,52.5,"N",58.7,44.475,72
4,45,30,37.5,"N",184.17,159.325,209.05
5,30,15,22.5,"N",430.25,398.475,462.575
6,15,0,7.5,"N",406.95,371.95,436.05
7,0,-15,-7.5,"S",312.62,291,340.05
8,-15,-30,-22.5,"S",230.45,205.375,260.675
9,-30,-45,-37.5,"S",38.06,26,49.525
10,-45,-60,-52.5,"S",7.78,3,13.525
11,-60,-75,-67.5,"S",2.57,0,5.52499999999999
12,-75,-90,-82.5,"S",0,0,0
