"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",2.61,0,5
2,75,60,67.5,"N",16.41,10,23
3,60,45,52.5,"N",48.58,38.475,60
4,45,30,37.5,"N",224.36,198.95,250.05
5,30,15,22.5,"N",468.71,440.95,503.05
6,15,0,7.5,"N",464.79,435.475,496.575
7,0,-15,-7.5,"S",255.73,227.85,285.525
8,-15,-30,-22.5,"S",191.11,166.95,219
9,-30,-45,-37.5,"S",114.52,91.475,132.575
10,-45,-60,-52.5,"S",32.52,21.475,45.575
11,-60,-75,-67.5,"S",3.45,0.475,7.52499999999999
12,-75,-90,-82.5,"S",0.46,0,2
