"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.39,1,7.52499999999999
2,75,60,67.5,"N",16.18,9,25
3,60,45,52.5,"N",63.19,49,81
4,45,30,37.5,"N",244.72,222.475,268.525
5,30,15,22.5,"N",541.47,510.425,569.05
6,15,0,7.5,"N",506.47,477,538.05
7,0,-15,-7.5,"S",266.63,240.475,291.525
8,-15,-30,-22.5,"S",185.74,161.95,207.525
9,-30,-45,-37.5,"S",99.37,80.475,115.525
10,-45,-60,-52.5,"S",45.23,31.95,59
11,-60,-75,-67.5,"S",12.28,6,21.525
12,-75,-90,-82.5,"S",2.05,0,5.52499999999999
