"id","x","y","rep"
"1",-81.5,4.5,1
"1",-82.5,9.5,1
"1",-85.5,4.5,1
"1",-70.5,1.5,1
"1",-83.5,9.5,1
"1",-82.5,6.5,1
"1",-71.5,-1.5,1
"1",-76.5,13.5,1
"1",-73.5,5.5,1
"1",-85.5,6.5,1
"1",-72.5,9.5,1
"1",-79.5,-0.5,1
"1",-77.5,3.5,1
"1",-71.5,7.5,1
"1",-78.5,5.5,1
"2",124.5,7.5,1
"2",122.5,4.5,1
"2",120.5,14.5,1
"3",-73.5,28.5,1
"3",-108.5,3.5,1
"3",-105.5,4.5,1
"3",-69.5,32.5,1
"3",-98.5,38.5,1
"3",-76.5,18.5,1
"3",-84.5,22.5,1
"3",-70.5,10.5,1
"4",94.5,12.5,1
"4",94.5,-2.5,1
"4",92.5,3.5,1
"4",92.5,0.5,1
"4",92.5,8.5,1
"4",92.5,7.5,1
"4",94.5,-7.5,1
"4",93.5,20.5,1
"4",93.5,16.5,1
"4",94.5,20.5,1
"4",92.5,14.5,1
"4",92.5,6.5,1
"4",94.5,1.5,1
"4",92.5,4.5,1
"5",114.5,9.5,1
"5",112.5,10.5,1
"5",120.5,11.5,1
"5",118.5,10.5,1
"5",112.5,9.5,1
"5",111.5,12.5,1
"5",118.5,11.5,1
"5",122.5,11.5,1
"5",119.5,11.5,1
"5",121.5,11.5,1
"5",109.5,9.5,1
"5",117.5,13.5,1
"5",114.5,10.5,1
"5",123.5,9.5,1
"5",115.5,12.5,1
"5",125.5,9.5,1
"5",118.5,13.5,1
"5",116.5,11.5,1
"5",121.5,10.5,1
"5",117.5,9.5,1
"5",114.5,13.5,1
"5",120.5,13.5,1
"5",122.5,12.5,1
"5",110.5,12.5,1
"5",124.5,13.5,1
"5",118.5,12.5,1
"5",124.5,9.5,1
"5",117.5,11.5,1
"5",111.5,13.5,1
"5",114.5,12.5,1
"6",-26.5,8.5,1
"6",-29.5,22.5,1
"6",-8.5,19.5,1
"6",-10.5,23.5,1
"6",-30.5,16.5,1
"6",-12.5,16.5,1
"6",-13.5,25.5,1
"6",0.5,28.5,1
"6",-14.5,5.5,1
"6",-21.5,21.5,1
"6",-16.5,15.5,1
"6",-17.5,22.5,1
"6",-18.5,18.5,1
"6",-14.5,23.5,1
"7",115.5,12.5,1
"7",116.5,10.5,1
"7",120.5,8.5,1
"7",111.5,14.5,1
"8",67.5,-10.5,1
"8",63.5,-8.5,1
"8",65.5,-10.5,1
"8",56.5,-9.5,1
"8",57.5,-8.5,1
"8",60.5,-10.5,1
"8",56.5,-10.5,1
